Category,Name,type,type_Count(Forproduct)
Lactobacillus ,rhamnosus,LRH10,8
Lactobacillus,fermentum,LF26,7
Lactobacillus,paracasei,LPC12,7
Lactobacillus,helveticus,LA25,6
Lactobacillus,delbrueckii,LDL114,5
Lactobacillus ,plantarum,LP115,5
Bifidobacterium,longum,BL986,3
Lactobacillus,acidophilus,LA1063,3
Streptococcus,thermophilus,ST30,3
Lactobacillus,helveticus,LH43,2
Bifidobacterium,breve ,BR03,1
Bifidobacterium,breve ,BR18,1
Lactobacillus,paracasei,IMC502,1
Lactobacillus,paracasei,LPC09,1
Lactobacillus ,casei,LC122,1
Lactobacillus ,gasseri,KM97,1
Lactobacillus ,gasseri,LG343,1
Lactobacillus ,plantarum,LP01,1
Lactobacillus ,reuteri,RC14,1
Lactobacillus ,rhamnosus,IMC501,1
Lactobacillus ,rhamnosus,LRH113,1
Lactobacillus ,rhamnosus,SP1,1
Lactobacillus,fermentum,LF11,0
Lactobacillus,fermentum,LF15,0
Lactobacillus,fermentum,MG901,0
Lactobacillus,paracasei,LC11,0
Lactobacillus,paracasei,MG4272,0
Lactobacillus ,casei,CS773,0
Lactobacillus ,plantarum,LP14,0
Lactobacillus ,plantarum,MG989,0
Lactobacillus ,rhamnosus,CT53,0
Lactobacillus ,rhamnosus,F1,0
Lactobacillus ,rhamnosus,GR1,0
Lactobacillus ,rhamnosus,HN001,0
Lactobacillus ,rhamnosus,LRH1,0
Lactobacillus ,rhamnosus,MG4288,0
